XLabel,Wavenumber;;;;;;;;;
YLabel,Absorbance;;;;;;;;;
FileType,Absorbance;;;;;;;;;
DisplayDirection,20300;;Palha de cana de açúcar;;Bagaço de Malte;;Casca de babaçu;;Cana energia;
PeakDirection,20310;;;;;;;;;
1064.154953,0.201389;;1064,154953;0,201389;1064,154953;0,22708;1064,154953;0,090325;1064,154953;0,165412
1066.018621,0.198601;;1066,018621;0,198601;1066,018621;0,223875;1066,018621;0,088047;1066,018621;0,160647
1067.882290,0.196491;;1067,88229;0,196491;1067,88229;0,221081;1067,88229;0,086217;1067,88229;0,156423
1069.745959,0.194910;;1069,745959;0,19491;1069,745959;0,218801;1069,745959;0,084853;1069,745959;0,152991
1071.609628,0.193553;;1071,609628;0,193553;1071,609628;0,216686;1071,609628;0,083732;1071,609628;0,150158
1073.473297,0.192434;;1073,473297;0,192434;1073,473297;0,214749;1073,473297;0,082624;1073,473297;0,147518
1075.336966,0.191151;;1075,336966;0,191151;1075,336966;0,212467;1075,336966;0,081643;1075,336966;0,145127
1077.200635,0.189658;;1077,200635;0,189658;1077,200635;0,209779;1077,200635;0,080817;1077,200635;0,142902
1079.064304,0.187799;;1079,064304;0,187799;1079,064304;0,206975;1079,064304;0,079886;1079,064304;0,140386
1080.927973,0.185804;;1080,927973;0,185804;1080,927973;0,204471;1080,927973;0,079057;1080,927973;0,138079
1082.791642,0.183740;;1082,791642;0,18374;1082,791642;0,202165;1082,791642;0,078368;1082,791642;0,136301
1084.655311,0.181857;;1084,655311;0,181857;1084,655311;0,200305;1084,655311;0,077879;1084,655311;0,135346
1086.518980,0.179810;;1086,51898;0,17981;1086,51898;0,198649;1086,51898;0,077491;1086,51898;0,134681
1088.382648,0.177531;;1088,382648;0,177531;1088,382648;0,19739;1088,382648;0,077039;1088,382648;0,134268
1090.246317,0.175023;;1090,246317;0,175023;1090,246317;0,196385;1090,246317;0,076579;1090,246317;0,134092
1092.109986,0.172195;;1092,109986;0,172195;1092,109986;0,195508;1092,109986;0,076243;1092,109986;0,1341
1093.973655,0.169065;;1093,973655;0,169065;1093,973655;0,194398;1093,973655;0,075847;1093,973655;0,134209
1095.837324,0.166039;;1095,837324;0,166039;1095,837324;0,193157;1095,837324;0,075544;1095,837324;0,134498
1097.700993,0.163222;;1097,700993;0,163222;1097,700993;0,191659;1097,700993;0,075296;1097,700993;0,13494
1099.564662,0.160796;;1099,564662;0,160796;1099,564662;0,190134;1099,564662;0,075189;1099,564662;0,135569
1101.428331,0.158543;;1101,428331;0,158543;1101,428331;0,188036;1101,428331;0,075033;1101,428331;0,136027
1103.292000,0.156410;;1103,292;0,15641;1103,292;0,185281;1103,292;0,074721;1103,292;0,136098
1105.155669,0.154178;;1105,155669;0,154178;1105,155669;0,181831;1105,155669;0,074093;1105,155669;0,135242
1107.019338,0.151870;;1107,019338;0,15187;1107,019338;0,178042;1107,019338;0,073179;1107,019338;0,133476
1108.883007,0.149536;;1108,883007;0,149536;1108,883007;0,174129;1108,883007;0,072101;1108,883007;0,13096
1110.746675,0.147346;;1110,746675;0,147346;1110,746675;0,170301;1110,746675;0,070808;1110,746675;0,128021
1112.610344,0.145175;;1112,610344;0,145175;1112,610344;0,166528;1112,610344;0,069253;1112,610344;0,124929
1114.474013,0.142930;;1114,474013;0,14293;1114,474013;0,163169;1114,474013;0,067677;1114,474013;0,121885
1116.337682,0.140396;;1116,337682;0,140396;1116,337682;0,160113;1116,337682;0,066086;1116,337682;0,118997
1118.201351,0.137462;;1118,201351;0,137462;1118,201351;0,157223;1118,201351;0,064616;1118,201351;0,11674
1120.065020,0.133838;;1120,06502;0,133838;1120,06502;0,154358;1120,06502;0,063326;1120,06502;0,1148
1121.928689,0.129611;;1121,928689;0,129611;1121,928689;0,151398;1121,928689;0,062003;1121,928689;0,112765
1123.792358,0.125030;;1123,792358;0,12503;1123,792358;0,148194;1123,792358;0,060575;1123,792358;0,110217
